,Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Bedrooms_Per_House,Closest_University,Distance_to_University_m
32,110400.0,1.7969,48,1922,409,1026,335,37.84,-122.27,5976.28805827603,1.2208955223880598,Pitzer College,2364.0
33,104900.0,1.375,49,1655,366,754,329,37.83,-122.27,4967.00519443677,1.1124620060790273,Pitzer College,3302.0
34,109700.0,2.7303,51,2665,574,1258,536,37.83,-122.27,4967.00519443677,1.0708955223880596,Pitzer College,3302.0
35,97200.0,1.4861,49,1215,282,570,264,37.83,-122.27,4967.00519443677,1.0681818181818181,Pitzer College,3302.0
36,104500.0,1.0972,48,1798,432,987,374,37.83,-122.27,4967.00519443677,1.1550802139037433,Pitzer College,3302.0
37,103900.0,1.4103,52,1511,390,901,403,37.83,-122.28,4629.27324947942,0.967741935483871,Pitzer College,3781.0
38,191400.0,3.48,52,1470,330,689,309,37.83,-122.26,5427.30174564534,1.0679611650485437,Pitzer College,3009.0
39,176000.0,2.5898,52,2432,715,1377,696,37.83,-122.26,5427.30174564534,1.0272988505747127,Pitzer College,3009.0
40,155400.0,2.0978,52,1665,419,946,395,37.83,-122.26,5427.30174564534,1.0607594936708862,Pitzer College,3009.0
41,150000.0,1.2852,51,936,311,517,249,37.83,-122.26,5427.30174564534,1.248995983935743,Pitzer College,3009.0
42,118800.0,1.025,49,713,202,462,189,37.84,-122.26,6363.94801261769,1.0687830687830688,Pitzer College,1934.0
43,188800.0,3.9643,52,950,202,467,198,37.84,-122.26,6363.94801261769,1.02020202020202,Pitzer College,1934.0
44,184400.0,3.0125,52,1443,311,660,292,37.83,-122.26,5427.30174564534,1.0650684931506849,Pitzer College,3009.0
45,182300.0,2.6768,52,1656,420,718,382,37.83,-122.26,5427.30174564534,1.0994764397905759,Pitzer College,3009.0
46,142500.0,2.026,50,1125,322,616,304,37.83,-122.26,5427.30174564534,1.0592105263157894,Pitzer College,3009.0
47,137500.0,1.7348,43,1007,312,558,253,37.82,-122.27,4012.37142896127,1.233201581027668,Pitzer College,4323.0
48,187500.0,0.9506,40,624,195,423,160,37.82,-122.26,4569.92738545906,1.21875,Pitzer College,4104.0
49,112500.0,1.775,40,946,375,700,352,37.82,-122.27,4012.37142896127,1.0653409090909092,Pitzer College,4323.0
50,171900.0,0.9218,21,896,453,735,438,37.82,-122.27,4012.37142896127,1.0342465753424657,Pitzer College,4323.0
51,93800.0,1.5045,43,1868,456,1061,407,37.82,-122.27,4012.37142896127,1.1203931203931203,Pitzer College,4323.0
52,97500.0,1.1108,41,3221,853,1959,720,37.82,-122.27,4012.37142896127,1.1847222222222222,Pitzer College,4323.0
53,104200.0,1.2475,52,1630,456,1162,400,37.82,-122.27,4012.37142896127,1.14,Pitzer College,4323.0
54,87500.0,1.6098,52,1170,235,701,233,37.82,-122.28,3585.76569534236,1.0085836909871244,Pitzer College,4699.0
55,83100.0,1.4113,52,945,243,576,220,37.82,-122.28,3585.76569534236,1.1045454545454545,Pitzer College,4699.0
56,87500.0,1.5057,52,1238,288,622,259,37.82,-122.28,3585.76569534236,1.111969111969112,Pitzer College,4699.0
57,85300.0,0.8172,52,1489,335,728,244,37.82,-122.28,3585.76569534236,1.3729508196721312,Pitzer College,4699.0
58,80300.0,1.2171,52,1387,341,1074,304,37.82,-122.28,3585.76569534236,1.1217105263157894,Pitzer College,4699.0
59,60000.0,2.5625,2,158,43,94,57,37.82,-122.29,3340.66007838528,0.7543859649122807,Pitzer College,5198.0
60,75700.0,3.3929,52,1121,211,554,187,37.83,-122.29,4442.14980901594,1.1283422459893049,Pitzer College,4385.0
61,75000.0,6.1183,49,135,29,86,23,37.82,-122.29,3340.66007838528,1.2608695652173914,Pitzer College,5198.0
62,86100.0,0.9011,50,760,190,377,122,37.81,-122.29,2249.48592561738,1.5573770491803278,Pitzer College,6106.0
63,76100.0,1.191,52,1224,237,521,159,37.81,-122.3,2214.98605591486,1.490566037735849,Pitzer College,6615.0
64,73500.0,2.5938,48,828,182,392,133,37.81,-122.3,2214.98605591486,1.368421052631579,Pitzer College,6615.0
65,78400.0,1.1667,52,1010,209,604,187,37.81,-122.3,2214.98605591486,1.1176470588235294,Pitzer College,6615.0
66,84400.0,0.8056,48,1455,354,788,332,37.81,-122.3,2214.98605591486,1.0662650602409638,Pitzer College,6615.0
67,81300.0,2.6094,52,1027,244,492,147,37.8,-122.29,1197.17435507093,1.6598639455782314,Pitzer College,7072.0
68,85000.0,1.8516,52,572,109,274,82,37.81,-122.3,2214.98605591486,1.329268292682927,Pitzer College,6615.0
69,129200.0,0.9802,46,2801,644,1823,611,37.81,-122.29,2249.48592561738,1.0540098199672667,Pitzer College,6106.0
70,82500.0,1.7719,26,768,152,392,127,37.81,-122.29,2249.48592561738,1.1968503937007875,Pitzer College,6106.0
71,95200.0,0.7286,46,935,297,582,277,37.81,-122.29,2249.48592561738,1.0722021660649819,Pitzer College,6106.0
72,75000.0,1.75,49,844,204,560,152,37.81,-122.29,2249.48592561738,1.3421052631578947,Pitzer College,6106.0
73,67500.0,0.4999,46,12,4,18,7,37.81,-122.29,2249.48592561738,0.5714285714285714,Pitzer College,6106.0
74,137500.0,2.483,20,835,161,290,133,37.81,-122.29,2249.48592561738,1.2105263157894737,Pitzer College,6106.0
75,177500.0,0.9241,17,1237,462,762,439,37.81,-122.28,2599.63896101145,1.0523917995444192,Pitzer College,5687.0
76,102100.0,2.4464,36,2914,562,1236,509,37.81,-122.28,2599.63896101145,1.1041257367387034,Pitzer College,5687.0
77,108300.0,1.1111,19,1207,243,721,207,37.81,-122.28,2599.63896101145,1.173913043478261,Pitzer College,5687.0
78,112500.0,0.8026,23,1745,374,1054,325,37.81,-122.29,2249.48592561738,1.1507692307692308,Pitzer College,6106.0
79,131300.0,2.0114,38,684,176,344,155,37.8,-122.28,1769.57399830806,1.135483870967742,Pitzer College,6714.0
80,162500.0,1.5,17,924,289,609,289,37.81,-122.28,2599.63896101145,1.0,Pitzer College,5687.0
81,112500.0,1.1667,52,210,56,183,56,37.81,-122.27,3162.27301203445,1.0,Pitzer College,5381.0
82,112500.0,1.5208,52,340,97,200,87,37.81,-122.28,2599.63896101145,1.1149425287356323,Pitzer College,5687.0
83,137500.0,0.8075,52,386,164,346,155,37.81,-122.28,2599.63896101145,1.0580645161290323,Pitzer College,5687.0
84,118800.0,1.8088,35,948,184,467,169,37.81,-122.28,2599.63896101145,1.0887573964497042,Pitzer College,5687.0
85,98200.0,2.4083,52,773,143,377,115,37.81,-122.28,2599.63896101145,1.2434782608695651,Pitzer College,5687.0
86,118800.0,0.977,40,880,451,582,380,37.81,-122.27,3162.27301203445,1.186842105263158,Pitzer College,5381.0
87,162500.0,0.76,10,875,348,546,330,37.81,-122.27,3162.27301203445,1.0545454545454545,Pitzer College,5381.0
88,137500.0,0.9722,10,105,42,125,39,37.8,-122.27,2524.61461566918,1.0769230769230769,Pitzer College,6456.0
90,162500.0,2.0938,16,994,392,800,362,37.8,-122.27,2524.61461566918,1.0828729281767955,Pitzer College,6456.0
91,137500.0,0.8668,52,215,87,904,88,37.8,-122.28,1769.57399830806,0.9886363636363636,Pitzer College,6714.0
92,162500.0,0.75,52,96,31,191,34,37.8,-122.28,1769.57399830806,0.9117647058823529,Pitzer College,6714.0
93,187500.0,2.6354,27,1055,347,718,302,37.79,-122.27,2284.78654341632,1.1490066225165563,Pitzer College,7543.0
94,179200.0,1.8477,39,1715,623,1327,467,37.8,-122.27,2524.61461566918,1.3340471092077089,Pitzer College,6456.0
95,130000.0,2.0096,36,5329,2477,3469,2323,37.8,-122.26,3340.67161897622,1.066293585880327,Pitzer College,6311.0
96,183800.0,2.8345,31,4596,1331,2048,1180,37.82,-122.26,4569.92738545906,1.1279661016949152,Pitzer College,4104.0
97,125000.0,2.0062,29,335,107,202,91,37.81,-122.26,3845.2217774209,1.1758241758241759,Pitzer College,5206.0
98,170000.0,1.2185,22,3682,1270,2024,1250,37.82,-122.26,4569.92738545906,1.016,Pitzer College,4104.0
99,193100.0,2.6104,37,3633,1085,1838,980,37.82,-122.26,4569.92738545906,1.1071428571428572,Pitzer College,4104.0
100,257800.0,2.4912,29,4656,1414,2304,1250,37.81,-122.25,4595.14987977277,1.1312,Pitzer College,5176.0
101,273400.0,3.2177,28,5806,1603,2563,1497,37.81,-122.25,4595.14987977277,1.070808283233133,Pitzer College,5176.0
102,237500.0,3.125,39,854,242,389,228,37.81,-122.25,4595.14987977277,1.0614035087719298,Pitzer College,5176.0
103,350000.0,2.5795,52,2155,701,895,613,37.81,-122.25,4595.14987977277,1.1435562805872757,Pitzer College,5176.0
104,335700.0,2.8406,34,5871,1914,2689,1789,37.81,-122.26,3845.2217774209,1.0698714365567357,Pitzer College,5206.0
105,313400.0,4.9306,52,1509,225,674,244,37.82,-122.24,5923.30723562356,0.9221311475409836,Pitzer College,4215.0
106,268500.0,3.2727,52,2026,482,709,456,37.81,-122.24,5384.14210717744,1.0570175438596492,Pitzer College,5294.0
107,259400.0,3.1691,52,1758,460,686,422,37.81,-122.25,4595.14987977277,1.0900473933649288,Pitzer College,5176.0
108,275700.0,3.9,52,3481,751,1444,718,37.82,-122.24,5923.30723562356,1.0459610027855153,Pitzer College,4215.0
109,225000.0,3.9063,28,3337,855,1520,802,37.82,-122.25,5216.61298549131,1.0660847880299251,Pitzer College,4066.0
110,262500.0,5.0917,52,1424,289,550,253,37.82,-122.25,5216.61298549131,1.1422924901185771,Pitzer College,4066.0
111,218500.0,2.6429,32,3809,1098,1806,1022,37.82,-122.25,5216.61298549131,1.0743639921722115,Pitzer College,4066.0
112,255000.0,3.0233,26,3959,1196,1749,1217,37.82,-122.25,5216.61298549131,0.9827444535743632,Pitzer College,4066.0
113,224100.0,3.1484,52,2376,559,939,519,37.83,-122.25,5981.93628131735,1.0770712909441233,Pitzer College,2957.0
114,243100.0,3.4722,35,1613,428,675,422,37.83,-122.25,5981.93628131735,1.014218009478673,Pitzer College,2957.0
115,231600.0,3.1429,52,1279,287,534,291,37.83,-122.25,5981.93628131735,0.9862542955326461,Pitzer College,2957.0
116,218500.0,2.4234,28,5022,1750,2558,1661,37.83,-122.25,5981.93628131735,1.053582179409994,Pitzer College,2957.0
117,234100.0,3.0897,52,4190,1105,1786,1037,37.83,-122.25,5981.93628131735,1.0655737704918034,Pitzer College,2957.0
118,327600.0,5.8596,50,2515,399,970,373,37.84,-122.23,8006.9337455887,1.0697050938337802,Pitzer College,2728.0
119,347600.0,5.2868,47,3175,454,1098,485,37.84,-122.23,8006.9337455887,0.9360824742268041,Pitzer College,2728.0
120,366100.0,5.956,41,2576,406,794,376,37.83,-122.24,6607.19402132895,1.0797872340425532,Pitzer College,3159.0
121,335000.0,4.9643,37,334,54,98,47,37.85,-122.24,8259.08510932293,1.148936170212766,Pitzer College,1350.0
122,373600.0,6.3434,52,2800,411,1061,403,37.85,-122.23,8810.49828547664,1.0198511166253101,Pitzer College,2144.0
123,389500.0,5.1773,52,3529,574,1177,555,37.84,-122.24,7395.76357883113,1.0342342342342343,Pitzer College,2160.0
124,391100.0,7.2354,52,2612,365,901,367,37.85,-122.24,8259.08510932293,0.9945504087193461,Pitzer College,1350.0
125,337300.0,5.457,28,5287,1048,2031,956,37.85,-122.22,9411.71336422041,1.096234309623431,Pitzer College,2986.0
126,295200.0,7.5,50,2935,473,1031,479,37.84,-122.22,8664.17575344934,0.9874739039665971,Pitzer College,3429.0
127,292300.0,6.0194,44,3424,597,1358,597,37.84,-122.21,9357.78709042734,1.0,Pitzer College,4197.0
128,411500.0,7.5544,40,4991,674,1616,654,37.83,-122.21,8748.16138905638,1.0305810397553516,Pitzer College,4789.0
129,311500.0,6.0666,30,2211,346,844,343,37.84,-122.2,10080.2629475809,1.0087463556851313,Pitzer College,5002.0
130,325900.0,7.0548,34,3038,490,1140,496,37.84,-122.21,9357.78709042734,0.9879032258064516,Pitzer College,4197.0
131,392600.0,11.6017,18,1617,210,533,194,37.84,-122.19,10825.8259229329,1.0824742268041236,Pitzer College,5828.0
132,319300.0,7.4882,35,2865,460,1072,443,37.84,-122.2,10080.2629475809,1.0383747178329572,Pitzer College,5002.0
133,333300.0,6.8976,34,5065,788,1627,766,37.83,-122.21,8748.16138905638,1.0287206266318538,Pitzer College,4789.0
134,335200.0,8.2049,28,1326,184,463,190,37.83,-122.19,10303.6241568699,0.968421052631579,Pitzer College,6267.0
135,351200.0,8.401,26,1589,223,542,211,37.83,-122.2,9517.12943476246,1.0568720379146919,Pitzer College,5508.0
136,368900.0,6.8538,29,1791,271,661,269,37.83,-122.19,10303.6241568699,1.0074349442379182,Pitzer College,6267.0
137,365900.0,8.317,32,1835,264,635,263,37.82,-122.19,9879.4582441999,1.0038022813688212,Pitzer College,6861.0
138,366700.0,7.0175,37,1229,181,420,176,37.82,-122.2,9056.08442765898,1.0284090909090908,Pitzer College,6175.0
139,362800.0,6.3302,39,3770,534,1265,500,37.82,-122.2,9056.08442765898,1.068,Pitzer College,6175.0
140,483300.0,6.3624,30,292,38,126,52,37.81,-122.18,9430.44816519297,0.7307692307692307,Saint Mary's College of California,6857.0
141,331400.0,7.0549,52,2375,333,813,350,37.82,-122.21,8244.10925029415,0.9514285714285714,Pitzer College,5543.0
142,323500.0,6.7851,45,2964,436,1067,426,37.81,-122.2,8713.34829677824,1.0234741784037558,Pitzer College,6956.0
143,216700.0,2.8929,50,2833,605,1260,552,37.8,-122.21,7632.42688548035,1.0960144927536233,Pitzer College,7329.0
144,233100.0,3.0812,38,2254,535,951,487,37.8,-122.21,7632.42688548035,1.0985626283367556,Pitzer College,7329.0
145,296400.0,5.2402,52,1389,212,510,224,37.81,-122.21,7865.95246331904,0.9464285714285714,Pitzer College,6402.0
146,273700.0,6.5217,52,1971,335,765,308,37.81,-122.22,7026.22866235321,1.0876623376623376,Pitzer College,5926.0
147,227700.0,3.2632,52,2183,465,1129,460,37.8,-122.22,6763.64753654356,1.0108695652173914,Pitzer College,6918.0
148,199600.0,3.0298,52,2286,464,1073,441,37.8,-122.22,6763.64753654356,1.0521541950113378,Pitzer College,6918.0
149,239800.0,4.5428,52,2721,541,1185,515,37.8,-122.22,6763.64753654356,1.050485436893204,Pitzer College,6918.0
150,270100.0,4.072,52,2024,339,756,340,37.81,-122.22,7026.22866235321,0.9970588235294118,Pitzer College,5926.0
151,302100.0,5.3509,52,2944,536,1034,521,37.81,-122.22,7026.22866235321,1.0287907869481765,Pitzer College,5926.0
152,269500.0,3.1603,52,2033,486,787,459,37.8,-122.23,5897.79929046248,1.0588235294117647,Pitzer College,6598.0
153,314700.0,4.7708,52,1433,229,612,213,37.81,-122.23,6197.29633514239,1.0751173708920188,Pitzer College,5550.0
154,390100.0,8.1564,52,2927,402,1021,380,37.81,-122.22,7026.22866235321,1.0578947368421052,Pitzer College,5926.0
155,410300.0,8.8793,52,2315,292,861,258,37.81,-122.23,6197.29633514239,1.1317829457364341,Pitzer College,5550.0
156,352400.0,6.8591,52,2485,313,953,327,37.81,-122.24,5384.14210717744,0.9571865443425076,Pitzer College,5294.0
157,287300.0,6.0302,52,1490,238,634,256,37.81,-122.24,5384.14210717744,0.9296875,Pitzer College,5294.0
158,348700.0,7.508,52,2814,365,878,352,37.81,-122.23,6197.29633514239,1.0369318181818181,Pitzer College,5550.0
159,243800.0,2.7477,52,2093,550,918,483,37.81,-122.24,5384.14210717744,1.1387163561076605,Pitzer College,5294.0
160,211500.0,2.1944,52,888,168,360,175,37.8,-122.24,5036.39411717906,0.96,Pitzer College,6384.0
161,218400.0,3.0149,52,2087,510,1197,488,37.8,-122.25,4182.1783564641,1.0450819672131149,Pitzer College,6287.0
162,269900.0,3.675,52,2513,502,1048,518,37.81,-122.24,5384.14210717744,0.9691119691119691,Pitzer College,5294.0
163,218800.0,3.225,46,3232,835,1373,747,37.81,-122.25,4595.14987977277,1.1178045515394912,Pitzer College,5176.0
164,225000.0,2.9345,42,4120,1065,1715,1015,37.8,-122.25,4182.1783564641,1.0492610837438423,Pitzer College,6287.0
165,250000.0,2.1429,43,2364,792,1359,722,37.8,-122.25,4182.1783564641,1.0969529085872576,Pitzer College,6287.0
166,171400.0,1.6121,41,1471,469,1062,413,37.8,-122.25,4182.1783564641,1.1355932203389831,Pitzer College,6287.0
167,193800.0,1.3929,29,2468,864,1335,773,37.8,-122.25,4182.1783564641,1.1177231565329884,Pitzer College,6287.0
168,125000.0,2.3173,27,1632,492,1171,429,37.79,-122.24,4920.81365501877,1.1468531468531469,Pitzer College,7481.0
169,97500.0,1.7772,45,1786,526,1475,460,37.79,-122.25,4042.11469450141,1.1434782608695653,Pitzer College,7398.0
170,125000.0,2.6458,50,629,188,742,196,37.79,-122.25,4042.11469450141,0.9591836734693877,Pitzer College,7398.0
171,138800.0,2.181,52,1339,391,1086,363,37.79,-122.25,4042.11469450141,1.0771349862258952,Pitzer College,7398.0
172,116700.0,2.2303,36,1678,606,1645,543,37.8,-122.25,4182.1783564641,1.1160220994475138,Pitzer College,6287.0
173,151800.0,1.6504,43,2344,647,1710,644,37.8,-122.25,4182.1783564641,1.0046583850931676,Pitzer College,6287.0
174,127000.0,2.2697,52,996,228,731,228,37.8,-122.24,5036.39411717906,1.0,Pitzer College,6384.0
175,128600.0,2.1563,52,1591,373,1118,347,37.8,-122.24,5036.39411717906,1.07492795389049,Pitzer College,6384.0
176,140600.0,2.1348,52,1586,398,1006,335,37.8,-122.24,5036.39411717906,1.1880597014925374,Pitzer College,6384.0
177,182700.0,2.6292,47,2046,588,1213,554,37.8,-122.24,5036.39411717906,1.0613718411552346,Pitzer College,6384.0
178,146900.0,2.3833,52,1192,289,772,257,37.8,-122.23,5897.79929046248,1.1245136186770428,Pitzer College,6598.0
179,122800.0,2.957,52,1803,420,1321,401,37.8,-122.24,5036.39411717906,1.0473815461346634,Pitzer College,6384.0
180,169300.0,2.5238,49,2838,749,1487,677,37.8,-122.24,5036.39411717906,1.106351550960118,Pitzer College,6384.0
181,126600.0,1.9375,52,783,184,488,186,37.8,-122.23,5897.79929046248,0.989247311827957,Pitzer College,6598.0
182,127900.0,1.9028,51,1590,414,949,392,37.8,-122.23,5897.79929046248,1.0561224489795917,Pitzer College,6598.0
183,123500.0,2.25,50,1746,480,1149,415,37.8,-122.23,5897.79929046248,1.1566265060240963,Pitzer College,6598.0
184,111900.0,2.3929,52,1252,299,844,280,37.8,-122.23,5897.79929046248,1.0678571428571428,Pitzer College,6598.0
185,112800.0,2.1917,43,5963,1344,4367,1231,37.79,-122.23,5799.52176777353,1.091795288383428,Pitzer College,7664.0
186,107900.0,2.9357,52,1783,395,1659,412,37.79,-122.23,5799.52176777353,0.9587378640776699,Pitzer College,7664.0
187,137500.0,1.8854,30,999,264,1011,263,37.79,-122.23,5799.52176777353,1.0038022813688212,Pitzer College,7664.0
188,105500.0,2.1638,39,1469,431,1464,389,37.79,-122.24,4920.81365501877,1.1079691516709511,Pitzer College,7481.0
189,95500.0,2.125,47,1372,395,1237,303,37.79,-122.24,4920.81365501877,1.3036303630363035,Pitzer College,7481.0
190,116100.0,3.375,52,674,180,647,168,37.79,-122.24,4920.81365501877,1.0714285714285714,Pitzer College,7481.0
191,112200.0,2.2542,43,1626,376,1284,357,37.79,-122.24,4920.81365501877,1.0532212885154062,Pitzer College,7481.0
192,75000.0,2.1,51,175,43,228,55,37.79,-122.25,4042.11469450141,0.7818181818181819,Pitzer College,7398.0
193,112500.0,1.6,39,461,129,381,123,37.79,-122.25,4042.11469450141,1.048780487804878,Pitzer College,7398.0
194,125000.0,3.625,52,902,237,846,227,37.79,-122.25,4042.11469450141,1.0440528634361232,Pitzer College,7398.0
195,115000.0,1.6929,20,2373,779,1659,676,37.8,-122.26,3340.67161897622,1.1523668639053255,Pitzer College,6311.0
196,95000.0,1.6471,52,391,128,520,138,37.77,-122.22,4226.27769924116,0.927536231884058,Pitzer College,10045.0
197,96400.0,2.59,52,1137,301,866,259,37.77,-122.22,4226.27769924116,1.162162162162162,Pitzer College,10045.0
198,72000.0,2.57,52,769,206,612,183,37.77,-122.23,4276.79661607913,1.1256830601092895,Pitzer College,9827.0
199,71300.0,2.6429,52,472,146,415,126,37.78,-122.23,5377.37195161567,1.1587301587301588,Pitzer College,8742.0
200,80800.0,3.0257,52,862,215,994,213,37.78,-122.23,5377.37195161567,1.0093896713615023,Pitzer College,8742.0
201,128800.0,1.4886,50,1920,530,1525,477,37.78,-122.22,5337.28592845899,1.1111111111111112,Pitzer College,8986.0
202,112500.0,1.9338,43,1420,472,1506,438,37.78,-122.23,5377.37195161567,1.0776255707762556,Pitzer College,8742.0
203,119400.0,1.4844,52,986,258,1008,255,37.78,-122.23,5377.37195161567,1.011764705882353,Pitzer College,8742.0
204,118100.0,1.6009,44,2340,825,2813,751,37.78,-122.23,5377.37195161567,1.0985352862849533,Pitzer College,8742.0
205,122500.0,2.0375,48,1696,396,1481,343,37.79,-122.23,5799.52176777353,1.154518950437318,Pitzer College,7664.0
206,106300.0,2.293,49,1175,217,859,219,37.79,-122.23,5799.52176777353,0.9908675799086758,Pitzer College,7664.0
207,132500.0,2.1494,37,2343,574,1608,523,37.79,-122.22,6448.61855862843,1.0975143403441683,Pitzer College,7941.0
208,122700.0,1.6198,30,610,145,425,140,37.79,-122.23,5799.52176777353,1.0357142857142858,Pitzer College,7664.0
209,113300.0,1.3281,40,930,199,564,184,37.79,-122.23,5799.52176777353,1.0815217391304348,Pitzer College,7664.0
210,109500.0,3.5156,44,1487,314,961,272,37.79,-122.22,6448.61855862843,1.1544117647058822,Pitzer College,7941.0
211,164700.0,3.9048,52,3424,690,2273,685,37.79,-122.22,6448.61855862843,1.0072992700729928,Pitzer College,7941.0
212,125000.0,3.0893,52,762,190,600,195,37.79,-122.21,6534.58334406559,0.9743589743589743,Pitzer College,8302.0
213,124700.0,2.6042,46,2366,575,1647,527,37.79,-122.22,6448.61855862843,1.0910815939278937,Pitzer College,7941.0
214,136700.0,2.5,49,1826,450,1201,424,37.79,-122.22,6448.61855862843,1.0613207547169812,Pitzer College,7941.0
215,141700.0,2.7969,38,3049,711,2167,659,37.79,-122.22,6448.61855862843,1.078907435508346,Pitzer College,7941.0
216,150000.0,2.8321,29,1640,376,939,340,37.79,-122.2,6735.16337844539,1.1058823529411765,Pitzer College,8737.0
217,138800.0,2.9583,47,1543,307,859,292,37.79,-122.21,6534.58334406559,1.0513698630136987,Pitzer College,8302.0
218,139200.0,2.8365,34,2364,557,1517,516,37.79,-122.21,6534.58334406559,1.0794573643410852,Pitzer College,8302.0
219,143800.0,2.875,35,1745,409,1143,386,37.79,-122.21,6534.58334406559,1.0595854922279793,Pitzer College,8302.0
220,156500.0,3.0682,39,2003,500,1109,464,37.8,-122.21,7632.42688548035,1.0775862068965518,Pitzer College,7329.0
221,151000.0,3.0757,39,2018,447,1221,446,37.8,-122.21,7632.42688548035,1.0022421524663676,Pitzer College,7329.0
222,273000.0,4.9559,43,3045,499,1115,455,37.8,-122.2,7805.94883659466,1.0967032967032968,Pitzer College,7818.0
223,217100.0,4.7721,52,1547,293,706,268,37.8,-122.2,7805.94883659466,1.0932835820895523,Pitzer College,7818.0
224,187100.0,3.4861,52,3519,711,1883,706,37.8,-122.21,7632.42688548035,1.0070821529745042,Pitzer College,7329.0
225,239600.0,5.1184,41,2070,354,804,340,37.8,-122.2,7805.94883659466,1.0411764705882354,Pitzer College,7818.0
226,229700.0,4.0977,48,1321,263,506,252,37.8,-122.21,7632.42688548035,1.0436507936507937,Pitzer College,7329.0
227,257300.0,4.744,48,1694,259,610,238,37.8,-122.19,8070.90220385803,1.088235294117647,Saint Mary's College of California,8208.0
